DealNumber,ContractDate,InventoryType,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,ContractTerm,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
16730,2014-03-29,N,JTHBK1GG8E2089970,Lexus,ES 350,2014,46670.0,2393.68,605.68,1788.0,42.0,Middlebury,IN,465409653,JTHBK1EG3B2433204,2011.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16734,2014-03-13,N,JTHCF1D28E5006960,Lexus,IS 250,2014,42672.3,-3284.69,287.33,-3572.02,27.0,Noblesville,IN,460626770,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16736,2014-03-13,U,JTHDL5EF0B5003231,Lexus,LS 460,2011,48100.0,6250.58,0.0,6250.58,1.0,Battle Creek,MI,490158694,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16737,2014-03-19,U,4T4BF3EK5BR199725,Toyota,Camry,2011,16995.0,2737.62,839.93,1897.69,60.0,Mishawaka,IN,465443803,1J4GW48S2YC100194,2000.0,Jeep,Grand Cherokee,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16738,2014-03-14,N,JTHCF1D26E5009484,Lexus,IS 250,2014,44217.0,-181.0,200.0,-381.0,48.0,Osceola,IN,465618923,JTHCF5C23C5057725,2012.0,Lexus,IS 250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16745,2014-03-29,N,JTJBK1BA4E2039181,Lexus,RX 350,2014,45123.64,337.64,200.0,137.64,48.0,Mishawaka,IN,465458919,2T2BK1BA6AC065825,2010.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16746,2014-04-09,N,JTJBM7FX0E5077629,Lexus,GX 460,2014,55213.0,3384.88,926.88,2458.0,48.0,Granger,IN,465304951,JTJBM7FX0C5035796,2012.0,Lexus,GX 460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16752,2014-03-15,U,1FMHK8D84CGB00718,Ford,Explorer,2012,26000.0,-198.43,0.0,-198.43,1.0,South Bend,IN,466199635,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16758,2014-03-17,U,4JGCB6FE0BA113436,Mercedes-Benz,R350,2011,34145.0,3164.61,0.0,3164.61,1.0,Lakewood,OH,441071049,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16761,2014-03-31,N,2T2BK1BAXEC248554,Lexus,RX 350,2014,47415.0,1581.49,1370.49,211.0,48.0,Mishawaka,IN,465446124,2T2BK1BA4CC127631,2012.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16764,2014-03-22,N,JTHBK1GG1E2091690,Lexus,ES 350,2014,46025.0,1079.9,583.9,496.0,48.0,Elkhart,IN,465144222,1G6DM57T370129950,2007.0,Cadillac,CTS,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16768,2014-03-28,N,JTHKD5BH7E2183047,Lexus,CT 200h,2014,33698.0,557.0,0.0,557.0,1.0,Mishawaka,IN,465451811,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16772,2014-03-26,N,JTHBK1GG2E2113907,Lexus,ES 350,2014,44647.22,-361.78,200.0,-561.78,48.0,Saint Joseph,MI,490859285,JTHBK1EG3B2449984,2011.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16785,2014-03-26,N,2T2BK1BA4EC245035,Lexus,RX 350,2014,51045.0,-107.0,250.0,-357.0,60.0,La Porte,IN,463506611,2T2BK1BAXCC132333,2012.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16786,2014-03-20,U,JTHCF5C22B5051073,Lexus,IS 250,2011,24956.0,290.0,0.0,290.0,1.0,Niles,MI,491208737,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16799,2014-03-22,U,JTHBK1GG6D2039244,Lexus,ES 350,2013,37495.0,5337.6,0.0,5337.6,1.0,Ada,MI,493019210,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16806,2014-03-31,N,2T2BK1BA7EC247751,Lexus,RX 350,2014,50950.0,1025.35,539.35,486.0,36.0,Mishawaka,IN,465443836,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16808,2014-03-29,N,2T2BK1BA5EC250213,Lexus,RX 350,2014,48832.0,512.0,250.0,262.0,60.0,Granger,IN,465304224,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1681,2007-01-06,N,JTHBL46F475017947,Lexus,LS 460,2007,69476.0,8490.0,-1275.0,9765.0,1.0,South Bend,IN,466142357,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16817,2014-03-24,N,JTHCL5EF2D5018828,Lexus,LS 460,2013,82000.0,-2941.0,0.0,-2941.0,1.0,Laporte,IN,463507961,JTHBL46F675029436,2007.0,Lexus,LS 460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1682,2006-12-08,N,2T2HK31U37C035854,Lexus,RX 350,2007,39584.67,2358.62,-236.05,2594.67,1.0,Bluffton,SC,299100105,WVWRH63B12P239115,2002.0,Volkswagen,Passat,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16824,2014-03-27,U,2T2BK1BA4DC171792,Lexus,RX 350,2013,40000.0,4191.61,0.0,4191.61,1.0,South Bend,IN,466376025,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16836,2014-03-31,N,2T2BK1BA1EC250239,Lexus,RX 350,2014,51074.0,1024.8,570.8,454.0,48.0,South Bend,IN,466375539,JTHBK1EG4B2467233,2011.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16837,2014-03-29,N,JTHBK1GG8E2119467,Lexus,ES 350,2014,39338.15,1172.38,458.23,714.15,48.0,Granger,IN,465307418,JTHBK1EGXB2447309,2011.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16846,2014-03-27,U,2C3KA63H06H498297,Chrysler,300C,2006,11000.0,3783.4,226.21,3557.19,60.0,South Bend,IN,466372014,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16848,2014-03-27,U,JTHBK1GG6D2007314,Lexus,ES 350,2013,36995.0,1499.6,0.0,1499.6,1.0,Elkhart,IN,465164367,JTHBJ46G182267535,2008.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16850,2014-03-28,N,JTHBK1GG0E2087999,Lexus,ES 350,2014,44263.0,1829.0,0.0,1829.0,1.0,New Carlisle,IN,465529006,SAJWA82B38SH23009,2008.0,Jaguar,XJ,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16853,2014-03-31,N,JTHBW1GG1E2046009,Lexus,ES 300h,2014,45261.0,789.0,200.0,-1507.32,39.0,Granger,IN,465304248,2T2BK1BA8CC150829,2012.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16857,2014-03-31,N,2T2BK1BA2EC251271,Lexus,RX 350,2014,48500.0,-104.66,275.34,-380.0,36.0,Granger,IN,465308418,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16861,2014-03-31,N,JTHBK1GG5D2076589,Lexus,ES 350,2013,37465.0,-2425.46,0.0,-2425.46,1.0,Michigan City,IN,463601753,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16863,2014-03-31,N,JTHCF1D24E5010794,Lexus,IS 250,2014,44377.0,-2598.64,200.0,-1291.0,48.0,South Bend,IN,466145569,JTHBB1BA2A2021824,2010.0,Lexus,HS 250h,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16864,2014-03-29,N,JTHCE1BL5E5022421,Lexus,GS 350,2014,53880.87,-362.13,200.0,-562.13,27.0,La Porte,IN,463508910,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16873,2014-03-31,U,2T2HA31UX6C107439,Lexus,RX 330,2006,14500.0,2106.0,0.0,2106.0,1.0,Milwaukee,WI,532023435,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16876,2014-04-01,U,3GNEC13T93G301964,Chevrolet,Avalanche 1500,2003,6495.0,3696.17,0.0,3696.17,1.0,North Platte,NE,691015895,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
