DealNumber,ContractDate,InventoryType,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,ContractTerm,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
10029,2011-01-12,U,2T2HK31U49C118454,Lexus,RX 350,2009,36500.0,4985.75,200.0,4785.75,60.0,Ocean View,DE,199704516,YV1CM59H331013308,2003.0,Volvo,XC90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10035,2011-01-10,U,JTHCE96S580017706,Lexus,GS 350,2008,34995.0,3028.39,0.0,3028.39,1.0,South Bend,IN,466149383,1FTWW31P95EB23344,2005.0,Ford,F-350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10036,2011-01-11,N,JTHDL5EF0B5003231,Lexus,LS 460,2011,82150.0,6481.0,0.0,6481.0,1.0,Bremen,IN,465061850,JTHBL46F385052674,2008.0,Lexus,LS 460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10037,2011-01-14,N,JTJBK1BA2B2013626,Lexus,RX 350,2011,42921.0,3087.0,0.0,3087.0,1.0,Granger,IN,465308309,1HGCD5666SA119678,1995.0,Honda,Accord,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10057,2011-01-14,U,JTJHK31U082048420,Lexus,RX 350,2008,31888.0,3461.87,0.0,3461.87,1.0,Elkhart,IN,465146138,1FMDU34X1VUC98892,1997.0,Ford,Explorer,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10059,2011-01-14,U,1NXBR32E55Z545986,Toyota,Corolla,2005,10719.0,3755.17,0.0,3755.17,1.0,Elkhart,IN,465146068,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10060,2011-01-14,N,2T2BK1BA7BC087463,Lexus,RX 350,2011,45921.0,2157.19,241.48,1915.71,48.0,Saint Joseph,MI,490853438,2T2HK31U08C049602,2008.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10067,2011-01-17,U,JTHBL46F385052674,Lexus,LS 460,2008,43995.0,5988.73,612.36,5376.37,72.0,Wanatah,IN,46390,JTHCE96S570011550,2007.0,Lexus,GS 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10068,2011-01-17,U,JTJBT20X780158790,Lexus,GX 470,2008,42000.0,4825.26,150.0,4675.26,60.0,Edwardsburg,MI,491128449,WA1EY74L57D059909,2007.0,Audi,Q7,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10072,2011-01-18,U,2T2HA31U36C108786,Lexus,RX 330,2006,26995.0,4128.71,508.05,3620.66,60.0,South Bend,IN,466141605,3N1CB51D94L836617,2004.0,Nissan,Sentra,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1008,2006-09-06,N,JTHCK262X75007951,Lexus,IS 250,2007,33921.0,1968.0,-230.0,2198.0,1.0,Saint Joseph,MI,49085,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10086,2011-01-18,U,JTHCK262X72012262,Lexus,IS 250,2007,23760.0,2727.48,542.43,2185.05,63.0,Baroda,MI,491019799,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10089,2011-01-18,U,WBADN63463GN88659,BMW,540,2003,14500.0,1616.62,237.38,1379.24,48.0,Granger,IN,465307114,JT8BF22G4V0049236,1997.0,Lexus,ES 300,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10092,2011-01-19,N,JTHCE5C23B5000507,Lexus,IS 350,2011,40282.0,2459.56,1159.56,1300.0,48.0,Osceola,IN,465618548,5TDDK3EH8AS024525,2010.0,Toyota,Highlander,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10095,2011-01-20,U,1HGCD5666SA119678,Honda,Accord,1995,4500.0,2675.0,0.0,2675.0,1.0,South Bend,IN,466351759,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10103,2011-01-24,N,JTHBK1EG8B2430833,Lexus,ES 350,2011,35082.68,979.68,0.0,979.68,36.0,Kalamazoo,MI,490083399,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10104,2011-01-24,N,JTHCL5EF9B5009508,Lexus,LS 460,2011,72000.0,4899.0,0.0,4899.0,1.0,Elkhart,IN,465148886,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10110,2011-01-22,U,3C3EL55H8XT555692,Chrysler,Sebring,1999,6993.0,3285.52,0.0,3285.52,1.0,White Pigeon,MI,490999440,1FTNX21L94EA75746,2004.0,Ford,F-250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10115,2011-01-25,N,2T2BK1BA2BC094451,Lexus,RX 350,2011,44000.0,1075.0,150.0,925.0,60.0,Union,MI,491309709,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10120,2011-01-25,U,1FMFU18L2VLB51829,Ford,Expedition,1997,4112.0,2487.0,0.0,2487.0,1.0,South Bend,IN,466373245,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10125,2011-01-25,U,2T2HK31U19C118721,Lexus,RX 350,2009,36995.0,2719.54,0.0,2719.54,1.0,Elkhart,IN,46517,2B4GP44302R706364,2002.0,Dodge,Grand Caravan,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10126,2011-01-25,U,JTJHF10U830298468,Lexus,RX 300,2003,13200.0,3106.76,200.0,2906.76,48.0,Granger,IN,465304270,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10127,2011-01-25,U,1GKFK16T0YJ173667,GMC,Yukon XL 1500,2000,6807.48,3582.48,0.0,3582.48,1.0,Plymouth,IN,465631116,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10129,2011-01-26,U,2G1WH55K919149565,Chevrolet,Impala,2001,4483.0,2488.0,0.0,2488.0,1.0,Berrien Sprgs,MI,491040001,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10132,2011-01-28,N,JTJJM7FX2B5025149,Lexus,GX 460,2011,60942.0,4229.31,887.31,3342.0,36.0,Granger,IN,465304258,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10134,2011-01-28,N,2T2BK1BAXBC098070,Lexus,RX 350,2011,42689.0,3386.69,791.69,2595.0,36.0,Granger,IN,465304258,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10136,2011-01-29,N,2T2BK1BA0BC092682,Lexus,RX 350,2011,42421.0,2317.7,228.7,2089.0,48.0,Granger,IN,465308387,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10141,2011-01-27,U,JTJHY7AX0A4054406,Lexus,LX 570,2010,81026.0,6401.0,0.0,6401.0,1.0,Saint Paul,MN,551045051,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10143,2011-01-29,N,2T2BK1BAXBC089630,Lexus,RX 350,2011,45876.0,2878.0,250.0,2628.0,36.0,Kewanna,IN,469392039,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10152,2011-01-29,U,YV1CM59H331013308,Volvo,XC90,2003,5500.0,3375.0,0.0,3375.0,1.0,Union,MI,491309796,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10154,2011-01-31,N,2T2BK1BA1BC094862,Lexus,RX 350,2011,44500.0,1276.83,497.83,779.0,36.0,Carmel,IN,460330002,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10156,2011-01-31,N,2T2BK1BA3BC098458,Lexus,RX 350,2011,45700.0,2515.0,250.0,2265.0,60.0,Lakeside,MI,491165133,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10157,2011-01-31,N,2T2BK1BA2BC097916,Lexus,RX 350,2011,46383.0,2295.0,200.0,2095.0,60.0,Chicago,IL,606106070,JTJHW31U160030523,2006.0,Lexus,RX 400h,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1016,2006-09-23,N,JTHBJ46G572044316,Lexus,ES 350,2007,39190.0,2806.05,-289.95,3096.0,1.0,Lenoir City,TN,377726953,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10161,2011-01-31,N,2T2BK1BA3BC097584,Lexus,RX 350,2011,42689.0,2745.0,150.0,2595.0,60.0,South Bend,IN,466142473,JTJHA31U740046155,2004.0,Lexus,RX 330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10162,2011-01-31,U,2B4GP44302R706364,Dodge,Grand Caravan,2002,2500.0,1875.0,0.0,1875.0,1.0,Southfield,MI,480337153,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10165,2011-02-18,N,JTHCE1KS8B0029623,Lexus,GS 350,2011,50416.49,2755.49,0.0,2755.49,36.0,Goshen,IN,46526,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10166,2011-01-31,N,JTHCE5C29B5000818,Lexus,IS 350,2011,39830.5,2077.5,150.0,1927.5,36.0,Benton Harbor,MI,49022,JTHCK262782027576,2008.0,Lexus,IS 250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10168,2011-03-14,N,JTHCE1KSXB0029851,Lexus,GS 350,2011,50536.0,1462.7,0.0,1462.7,36.0,Mishawaka,IN,46544,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10172,2011-02-10,N,JTHBB1BA2A2023945,Lexus,HS 250h,2010,41000.0,2426.41,509.97,1916.44,48.0,Mishawaka,IN,465451869,1N4BA41E46C838603,2006.0,Nissan,Maxima,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10174,2011-02-05,N,JTHCL5EF7B5009801,Lexus,LS 460,2011,70400.0,4825.0,400.0,4425.0,36.0,South Bend,IN,466289768,JTHBL46F285062287,2008.0,Lexus,LS 460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10176,2011-04-07,N,JTHCL5EF4B5010646,Lexus,LS 460,2011,73269.1,7688.72,753.62,6935.1,24.0,Plymouth,IN,465631374,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10177,2011-02-28,N,2T2BK1BA9BC104019,Lexus,RX 350,2011,46545.0,-789.35,0.0,-789.35,36.0,Niles,MI,491207789,JTJHF10U010177138,2001.0,Lexus,RX 300,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10180,2011-02-08,U,JT6HF10U1Y0126767,Lexus,RX 300,2000,10183.0,3710.52,0.0,3710.52,1.0,South Bend,IN,466281951,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10184,2011-02-08,U,JTHBJ46G182221459,Lexus,ES 350,2008,27195.0,4248.42,591.3,3657.12,60.0,Mishawaka,IN,46545,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10186,2011-02-09,U,1FMDU34X1VUC98892,Ford,Explorer,1997,4200.0,2575.0,0.0,2575.0,1.0,Goshen,IN,465264308,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10190,2011-02-10,U,2B3KA53H06H233693,Dodge,Charger,2006,13993.0,1563.83,486.62,1077.21,51.0,Elkhart,IN,465162208,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10193,2011-02-10,N,2T2BK1BAXBC099641,Lexus,RX 350,2011,42158.42,1049.87,228.45,821.42,48.0,Elkhart,IN,465144708,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10195,2011-02-10,U,1GNCT18W7TK162811,Chevrolet,Blazer,1996,900.0,400.0,0.0,400.0,1.0,South Bend,IN,466192045,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10196,2011-02-10,N,JTJBM7FX4B5025142,Lexus,GX 460,2011,55500.0,3469.0,0.0,3469.0,1.0,Elkhart,IN,465173215,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10197,2011-02-11,N,JTHBB1BA6A2025830,Lexus,HS 250h,2010,38900.0,1210.8,0.0,1210.8,1.0,Saint Joseph,MI,490859722,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10198,2011-02-19,N,2T2BK1BA5BC100839,Lexus,RX 350,2011,45230.0,997.5,0.0,997.5,36.0,Mishawaka,IN,46544,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10199,2011-02-11,U,JTHBN30F230096877,Lexus,LS 430,2003,20000.0,3908.72,200.0,3708.72,51.0,South Bend,IN,466161934,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10200,2011-02-12,U,JTJHW31U160030523,Lexus,RX 400h,2006,26995.0,3353.95,386.1,2967.85,60.0,Stevensville,MI,491278472,JTEHF21A320069056,2002.0,Toyota,Highlander,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10202,2011-02-12,N,2T2BK1BA5BC086666,Lexus,RX 350,2011,42400.0,1911.0,455.0,1456.0,60.0,Bourbon,IN,465049636,JTJHW31U672015490,2007.0,Lexus,RX 400h,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10204,2011-02-14,N,JTJBM7FXXB5024321,Lexus,GX 460,2011,56500.0,4530.0,400.0,4130.0,36.0,South Bend,IN,466376040,JTJBT20X690172035,2009.0,Lexus,GX 470,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10208,2011-02-14,U,WA1EY74L57D059909,Audi,Q7,2007,26500.0,3046.34,470.78,2575.56,60.0,Granger,IN,465306920,WAUDF78E47A078839,2007.0,Audi,A4,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10210,2011-02-25,N,2T2BK1BA4BC102971,Lexus,RX 350,2011,45830.0,1632.91,299.48,1333.43,36.0,Niles,MI,491207820,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10213,2011-02-17,N,JTHCL5EF7B5009314,Lexus,LS 460,2011,70408.0,3775.04,0.0,3775.04,36.0,Mishawaka,IN,46544,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10216,2011-02-18,U,1J8GW68JX3C502698,Jeep,Grand Cherokee,2003,12800.0,3814.67,0.0,3814.67,1.0,Conway,AR,720328235,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10220,2011-02-28,N,JTHBL5EF3A5099541,Lexus,LS 460,2010,62500.0,1396.0,0.0,1396.0,1.0,Elkhart,IN,46514,Not Applicable,2007.0,LEXU,GS350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10222,2011-02-25,N,JTJBC1BA7B2037515,Lexus,RX 450h,2011,53355.38,1473.05,344.02,1129.03,36.0,Mishawaka,IN,465456447,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10225,2011-02-19,U,JTHCK262885027150,Lexus,IS 250,2008,25395.44,1861.66,500.0,1361.66,72.0,Lakeville,IN,465369460,WAULT68E15A051917,2005.0,Audi,A4,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10227,2011-02-19,U,JTHBJ46G872084230,Lexus,ES 350,2007,23270.0,3212.85,775.0,2437.85,48.0,Elkhart,IN,465145422,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10228,2011-02-19,N,2T2BK1BA1BC099026,Lexus,RX 350,2011,42450.0,2046.0,0.0,2046.0,60.0,South Bend,IN,466149152,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10231,2011-02-26,U,JTHBN36F855010999,Lexus,LS 430,2005,20900.0,-205.6,0.0,-205.6,1.0,Granger,IN,465308298,JTHBN30FX20085205,2002.0,Lexus,LS 430,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10233,2011-02-26,U,2T2HK31UX9C130284,Lexus,RX 350,2009,33602.34,3614.95,496.37,3118.58,60.0,Granger,IN,465308298,2HNYD18224H522675,2004.0,Acura,MDX,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10235,2011-02-21,U,2T2HA31U94C029166,Lexus,RX 330,2004,18913.0,4489.56,0.0,4489.56,1.0,Duluth,MN,558032708,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10237,2011-02-21,U,2T2HK31U08C089307,Lexus,RX 350,2008,31000.0,2164.17,0.0,2164.17,1.0,Cambridge,MA,21411881,4JGAB72E81A230179,2001.0,Mercedes-Benz,ML430,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1024,2006-09-02,N,2T2HK31U27C025090,Lexus,RX 350,2007,43645.0,3236.19,534.74,2953.0,36.0,Elkhart,IN,465179158,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10240,2011-02-22,U,JTEHF21A320069056,Toyota,Highlander,2002,14995.0,4356.16,0.0,4356.16,1.0,South Bend,IN,466143600,1G6EL12Y41B100746,2001.0,Cadillac,Eldorado,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10241,2011-02-22,N,2T2BK1BA8BC101919,Lexus,RX 350,2011,41700.0,1446.0,150.0,1296.0,24.0,Bremen,IN,465068909,2T2HK31U98C072554,2008.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10253,2011-03-09,U,WDDKJ5GB8AF004702,Mercedes-Benz,E350,2010,42898.13,2478.13,0.0,2478.13,1.0,South Bend,IN,466151303,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10255,2011-02-25,N,JTHCF5C28B5048632,Lexus,IS 250,2011,38900.0,627.58,220.89,406.69,48.0,Hamilton,IN,467420161,JTHBK262172033996,2007.0,Lexus,IS 250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10257,2011-02-25,N,JTHFE2C20B2505210,Lexus,IS 350C,2011,54000.0,4935.0,0.0,4935.0,1.0,Rochester,IN,469757033,1ZVBP8FH3A5158916,2010.0,Ford,Mustang,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1026,2006-09-05,N,2T2HK31U67C027134,Lexus,RX 350,2007,39693.0,2806.0,-270.0,3076.0,1.0,Cassopolis,MI,490319350,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10262,2011-04-18,N,2T2BK1BA4BC108169,Lexus,RX 350,2011,45593.22,1439.22,0.0,1439.22,1.0,La Porte,IN,463506710,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10264,2011-02-28,U,2T2HK31U98C058816,Lexus,RX 350,2008,23670.7,701.27,0.0,701.27,1.0,Nyack,NY,109604913,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10265,2011-03-07,U,JTHCE96S570011550,Lexus,GS 350,2007,26736.82,4228.72,547.2,3681.52,60.0,Indianapolis,IN,462441010,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10266,2011-03-02,U,5TDDK3EH8AS024525,Toyota,Highlander,2010,34874.0,3444.85,748.28,2696.57,60.0,Goshen,IN,465269126,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10267,2011-03-02,N,JTHBK1EG9B2423793,Lexus,ES 350,2011,41599.75,2595.75,0.0,2595.75,1.0,Elkhart,IN,465173350,2G1FK1EJ2A9220901,2010.0,Chevrolet,Camaro,2T2HK31U48C080075,2008.0,Lexus,RX 350
10271,2011-03-04,N,JTHKD5BH4B2004135,Lexus,CT 200h,2011,36650.0,1860.4,0.0,1661.99,48.0,Granger,IN,465304516,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10274,2011-03-08,N,2T2BK1BA5BC098851,Lexus,RX 350,2011,43048.0,3640.15,1255.29,2384.86,48.0,South Bend,IN,466151120,JN8AZ18W39W201141,2009.0,Nissan,Murano,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10283,2011-03-05,U,JTHBK1EGXA2343062,Lexus,ES 350,2010,32995.0,1698.07,0.0,1698.07,1.0,Stevensville,MI,491278641,JTHBJ46G172042921,2007.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10290,2011-03-08,U,1FMYU93156KA24626,Ford,Escape,2006,12995.0,1569.16,300.0,1269.16,48.0,South Bend,IN,466284044,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10292,2011-03-17,N,JTHKD5BH0B2006674,Lexus,CT 200h,2011,31775.0,1901.4,410.4,1491.0,60.0,Goshen,IN,465261006,2S3DA417886120425,2008.0,Suzuki,XL7,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10293,2011-03-14,N,JTHCE1KSXB0029882,Lexus,GS 350,2011,50402.0,2724.27,0.0,2724.27,36.0,Mishawaka,IN,46544,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10296,2011-03-23,N,2T2BK1BA4BC101920,Lexus,RX 350,2011,42100.0,1471.0,0.0,1471.0,1.0,Elkhart,IN,465173363,JTJHA31U040012946,2004.0,Lexus,RX 330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10302,2011-03-11,U,JTJBT20X690172035,Lexus,GX 470,2009,42995.0,3704.78,200.0,3504.78,48.0,Rolling Pr,IN,463719613,JTJHA31U740055292,2004.0,Lexus,RX 330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10303,2011-03-17,N,JTHBB1BA2A2021824,Lexus,HS 250h,2010,38647.0,318.32,0.0,318.32,48.0,South Bend,IN,466145569,JTHCK262385022924,2008.0,Lexus,IS 250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10307,2011-03-30,N,JTHBK1EG7B2438681,Lexus,ES 350,2011,39334.1,851.52,168.16,683.36,36.0,South Bend,IN,466199729,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10309,2011-03-14,U,1GMDX33L55D219519,Pontiac,Montana SV6,2005,10700.0,3040.32,123.93,2916.39,36.0,Mishawaka,IN,465452905,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10312,2011-03-15,U,1ZVBP8FH3A5158916,Ford,Mustang,2010,31683.18,7373.18,0.0,7373.18,1.0,Elkhart,IN,465179809,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10314,2011-03-16,U,JTHCK262972011586,Lexus,IS 250,2007,26000.0,6776.94,0.0,6776.94,1.0,Niles,MI,491207814,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10317,2011-03-19,N,JTJBC1BAXB2042496,Lexus,RX 450h,2011,54900.0,4053.0,0.0,4053.0,60.0,Elkhart,IN,465146319,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10322,2011-03-17,U,SAJEA51D22XC59136,Jaguar,X-TYPE,2002,4580.37,979.42,0.0,979.42,1.0,South Bend,IN,466171480,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10329,2011-03-19,N,JTHCL5EF2B5010421,Lexus,LS 460,2011,69162.0,3189.0,0.0,3189.0,1.0,Niles,MI,491205946,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10330,2011-03-22,N,2T2BK1BA7BC090198,Lexus,RX 350,2011,47500.0,2932.15,425.15,2507.0,60.0,Valparaiso,IN,463837805,2T2HA31U36C088622,2006.0,Lexus,RX 330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10332,2011-03-18,U,WBAFA53571LM80496,BMW,X5,2001,8500.0,1862.26,0.0,1862.26,1.0,Mishawaka,IN,465444906,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10333,2011-03-18,U,2T2HK31U97C005998,Lexus,RX 350,2007,30995.0,3338.5,0.0,3338.5,1.0,Rochester,IN,469758920,1J4GL48K12W319114,2002.0,Jeep,Liberty,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10334,2011-03-18,U,JTHBE262785019382,Lexus,IS 350,2008,30600.0,4623.0,0.0,4623.0,1.0,Houston,TX,770981127,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10335,2011-03-19,N,2T2BK1BA1BC103270,Lexus,RX 350,2011,42400.0,2144.0,0.0,2144.0,1.0,South Bend,IN,466172502,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10336,2011-03-18,U,JM1BJ2227Y0263761,Mazda,Protege,2000,3300.0,990.0,0.0,752.0,1.0,Granger,IN,465305851,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10341,2011-03-23,N,2T2BK1BA6BC106939,Lexus,RX 350,2011,48732.0,4421.56,411.74,4009.82,36.0,Bridgman,MI,49106,2T2BK1BA2AC006125,2010.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10348,2011-03-23,U,JTHBN30F220076689,Lexus,LS 430,2002,15500.0,3331.07,280.18,3050.89,48.0,Elkhart,IN,465149487,1B4HS28N11F590732,2001.0,Dodge,Durango,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10351,2011-03-22,N,2T2BK1BA3BC091235,Lexus,RX 350,2011,43000.0,2956.0,0.0,2956.0,60.0,Goshen,IN,465287009,2T2HA31U64C039282,2004.0,Lexus,RX 330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10352,2011-03-23,N,JTHBK1EG5B2425928,Lexus,ES 350,2011,37000.0,2087.0,0.0,2087.0,60.0,Goshen,IN,465287009,1G6DW67V980185412,2008.0,Cadillac,STS,3VWSW31C16M411041,2006.0,Volkswagen,New Beetle
